文件ID,来源文件,标题,字符数,所属人物,内容身份,分级,分级理由,对应主题,推荐用途,主版本,替代版本,是否需要事实核验,是否存在错误归因风险,芒格模型身份层级,模型身份说明,编辑可信度
DOC-504,content/munger-archive/recordings/harvard-law-1998-multidisciplinary.md,对更多跨学科技能的需要（哈佛法学院50周年同学会，1998）,2167,芒格,访谈/会议转录与中文翻译,B,访谈和会议提供晚年实践语境，适合按主题抽取。,知识格栅与多元模型|人类误判心理学|激励与制度,案例/延伸阅读,poor-charlies-almanack/poor-charlies-almanack-talk-five.md,无,否,低,,,高
DOC-505,content/munger-archive/recordings/invest-like-the-best-2023.md,查理·芒格与约翰·科里森（《最好的投资》，2023）,1526,芒格,访谈/会议转录与中文翻译,B,访谈和会议提供晚年实践语境，适合按主题抽取。,投资与资本配置|学习、品格与人生|知识格栅与多元模型,案例/延伸阅读,content/munger-archive/recordings/invest-like-the-best-2023.md,无,否,低,,,高
DOC-506,content/munger-archive/recordings/michigan-2011.md,与查理·芒格的对话（密歇根大学，2011年）,992,芒格,访谈/会议转录与中文翻译,B,访谈和会议提供晚年实践语境，适合按主题抽取。,学习、品格与人生|理性训练与避免愚蠢,案例/延伸阅读,content/munger-archive/recordings/michigan-2011.md,无,否,低,,,高
DOC-507,content/munger-archive/recordings/michigan-ross-2017.md,与查理·芒格的对话（密歇根罗斯商学院，2017年）,1082,芒格,访谈/会议转录与中文翻译,B,访谈和会议提供晚年实践语境，适合按主题抽取。,学习、品格与人生,案例/延伸阅读,content/munger-archive/recordings/michigan-ross-2017.md,无,否,低,,,高
DOC-508,content/munger-archive/recordings/munger-li-lu-2018.md,查理·芒格与李录谈中国（2018年）,1082,芒格,访谈/会议转录与中文翻译,B,访谈和会议提供晚年实践语境，适合按主题抽取。,投资与资本配置|人类误判心理学|激励与制度,案例/延伸阅读,content/munger-archive/recordings/munger-li-lu-2018.md,无,否,低,,,高
DOC-509,content/munger-archive/recordings/power-of-partnership-2016.md,与沃伦·巴菲特合伙的力量（2016）,895,芒格,访谈/会议转录与中文翻译,B,访谈和会议提供晚年实践语境，适合按主题抽取。,投资与资本配置|激励与制度|商业判断,案例/延伸阅读,content/munger-archive/recordings/power-of-partnership-2016.md,无,否,低,,,高
DOC-510,content/munger-archive/recordings/psychology-of-human-misjudgment-1995.md,人类误判心理学（1995）,1805,芒格,访谈/会议转录与中文翻译,B,包含核心思想或演变语境，但需与宝典版和其他转录比较。,人类误判心理学|理性训练与避免愚蠢|知识格栅与多元模型,案例/思想演变/译文校对,poor-charlies-almanack/poor-charlies-almanack-talk-eleven.md,无,否,低,,,高
DOC-511,content/munger-archive/recordings/singleton-prize-2022.md,论领导力与资本配置，与托德·库姆斯对谈（2022）,1075,芒格,访谈/会议转录与中文翻译,B,访谈和会议提供晚年实践语境，适合按主题抽取。,投资与资本配置|商业判断|理性训练与避免愚蠢,案例/延伸阅读,content/munger-archive/recordings/singleton-prize-2022.md,无,否,低,,,高
DOC-512,content/munger-archive/recordings/stanford-1996-worldly-wisdom.md,普世智慧再探（斯坦福法学院，1996）,2862,芒格,访谈/会议转录与中文翻译,B,访谈和会议提供晚年实践语境，适合按主题抽取。,知识格栅与多元模型|人类误判心理学|激励与制度,案例/延伸阅读,poor-charlies-almanack/poor-charlies-almanack-talk-three.md,无,否,低,,,高
DOC-513,content/munger-archive/recordings/stanford-grundfest-2009.md,当前的经济危机——芒格与约瑟夫·格伦德费斯特对谈（斯坦福，2009）,839,芒格,访谈/会议转录与中文翻译,B,访谈和会议提供晚年实践语境，适合按主题抽取。,激励与制度|投资与资本配置|学习、品格与人生,案例/延伸阅读,content/munger-archive/recordings/stanford-grundfest-2009.md,无,否,低,,,高
DOC-514,content/munger-archive/recordings/ucsb-2003-academic-economics.md,学院派经济学：长处与缺陷（加州大学圣巴巴拉分校，2003）,3675,芒格,访谈/会议转录与中文翻译,B,包含核心思想或演变语境，但需与宝典版和其他转录比较。,人类误判心理学|激励与制度|复杂系统与通用模型,案例/思想演变/译文校对,poor-charlies-almanack/poor-charlies-almanack-talk-nine.md,无,否,低,,,高
DOC-515,content/munger-archive/recordings/usc-1994-worldly-wisdom.md,关于基本的世俗智慧的一课（南加州大学，1994）,2245,芒格,访谈/会议转录与中文翻译,B,包含核心思想或演变语境，但需与宝典版和其他转录比较。,知识格栅与多元模型|人类误判心理学|复杂系统与通用模型,案例/思想演变/译文校对,poor-charlies-almanack/poor-charlies-almanack-talk-two.md,无,否,低,,,高
DOC-516,content/munger-archive/recordings/usc-law-2007.md,南加州大学法学院毕业典礼演讲（2007）,1230,芒格,访谈/会议转录与中文翻译,B,访谈和会议提供晚年实践语境，适合按主题抽取。,知识格栅与多元模型|学习、品格与人生|理性训练与避免愚蠢,案例/延伸阅读,poor-charlies-almanack/poor-charlies-almanack-talk-ten.md,无,否,低,,,高
DOC-517,content/munger-archive/recordings/wsj-unplugged-2019.md,查理·芒格，畅所欲言（《华尔街日报》/ 杰森·茨威格，2019）,2282,芒格,访谈/会议转录与中文翻译,B,访谈和会议提供晚年实践语境，适合按主题抽取。,投资与资本配置|学习、品格与人生|理性训练与避免愚蠢,案例/延伸阅读,content/munger-archive/recordings/wsj-unplugged-2019.md,无,否,低,,,高
DOC-518,content/munger-archive/recordings/yahoo-2019-china.md,查理·芒格谈中国崛起与埃隆·马斯克（雅虎财经，2019）,963,芒格,访谈/会议转录与中文翻译,B,访谈和会议提供晚年实践语境，适合按主题抽取。,商业判断|学习、品格与人生,案例/延伸阅读,content/munger-archive/recordings/yahoo-2019-china.md,无,否,低,,,高
DOC-519,content/munger-archive/recordings/yahoo-2019-wealth.md,查理·芒格谈投资与成就财富的人生抉择（2019）,956,芒格,访谈/会议转录与中文翻译,B,访谈和会议提供晚年实践语境，适合按主题抽取。,学习、品格与人生|投资与资本配置|概率与数量思维,案例/延伸阅读,content/munger-archive/recordings/yahoo-2019-wealth.md,无,否,低,,,高
DOC-520,content/munger-originals/wesco-letter-1997.md,Wesco Financial Corporation Letter to Shareholders 1997,27784,芒格,英文原始文献,C,英文原始文献适合校对、注释和典藏，不直接占用中文主书篇幅。,投资与资本配置,来源校对/典藏层,content/munger-originals/wesco-letter-1997.md,无,否,低,,,高
DOC-521,content/munger-originals/wesco-letter-1998.md,Wesco Financial Corporation Letter to Shareholders 1998,25721,芒格,英文原始文献,C,英文原始文献适合校对、注释和典藏，不直接占用中文主书篇幅。,投资与资本配置,来源校对/典藏层,content/munger-originals/wesco-letter-1998.md,无,否,低,,,高
DOC-522,content/munger-originals/wesco-letter-1999.md,Wesco Financial Corporation Letter to Shareholders 1999,22468,芒格,英文原始文献,C,英文原始文献适合校对、注释和典藏，不直接占用中文主书篇幅。,投资与资本配置,来源校对/典藏层,content/munger-originals/wesco-letter-1999.md,无,否,低,,,高
DOC-523,content/munger-originals/wesco-letter-2000.md,Wesco Financial Corporation Letter to Shareholders 2000,18537,芒格,英文原始文献,C,英文原始文献适合校对、注释和典藏，不直接占用中文主书篇幅。,投资与资本配置,来源校对/典藏层,content/munger-originals/wesco-letter-2000.md,无,否,低,,,高
DOC-524,content/munger-originals/wesco-letter-2001.md,Wesco Financial Corporation Letter to Shareholders 2001,20984,芒格,英文原始文献,C,英文原始文献适合校对、注释和典藏，不直接占用中文主书篇幅。,投资与资本配置,来源校对/典藏层,content/munger-originals/wesco-letter-2001.md,无,否,低,,,高
DOC-525,content/munger-originals/wesco-letter-2002.md,Wesco Financial Corporation Letter to Shareholders 2002,24221,芒格,英文原始文献,C,英文原始文献适合校对、注释和典藏，不直接占用中文主书篇幅。,投资与资本配置,来源校对/典藏层,content/munger-originals/wesco-letter-2002.md,无,否,低,,,高
DOC-526,content/munger-originals/wesco-letter-2003.md,Wesco Financial Corporation Letter to Shareholders 2003,22940,芒格,英文原始文献,C,英文原始文献适合校对、注释和典藏，不直接占用中文主书篇幅。,投资与资本配置,来源校对/典藏层,content/munger-originals/wesco-letter-2003.md,无,否,低,,,高
DOC-527,content/munger-originals/wesco-letter-2004.md,Wesco Financial Corporation Letter to Shareholders 2004,25920,芒格,英文原始文献,C,英文原始文献适合校对、注释和典藏，不直接占用中文主书篇幅。,投资与资本配置,来源校对/典藏层,content/munger-originals/wesco-letter-2004.md,无,否,低,,,高
DOC-528,content/munger-originals/wesco-letter-2005.md,Wesco Financial Corporation Letter to Shareholders 2005,26246,芒格,英文原始文献,C,英文原始文献适合校对、注释和典藏，不直接占用中文主书篇幅。,投资与资本配置,来源校对/典藏层,content/munger-originals/wesco-letter-2005.md,无,否,低,,,高
DOC-529,content/munger-originals/wesco-letter-2006.md,Wesco Financial Corporation Letter to Shareholders 2006,24706,芒格,英文原始文献,C,英文原始文献适合校对、注释和典藏，不直接占用中文主书篇幅。,投资与资本配置,来源校对/典藏层,content/munger-originals/wesco-letter-2006.md,无,否,低,,,高
DOC-530,content/munger-originals/wesco-letter-2007.md,Wesco Financial Corporation Letter to Shareholders 2007,23597,芒格,英文原始文献,C,英文原始文献适合校对、注释和典藏，不直接占用中文主书篇幅。,投资与资本配置,来源校对/典藏层,content/munger-originals/wesco-letter-2007.md,无,否,低,,,高
DOC-531,content/munger-originals/wesco-letter-2008.md,Wesco Financial Corporation Letter to Shareholders 2008,26367,芒格,英文原始文献,C,英文原始文献适合校对、注释和典藏，不直接占用中文主书篇幅。,投资与资本配置,来源校对/典藏层,content/munger-originals/wesco-letter-2008.md,无,否,低,,,高
DOC-532,content/munger-originals/wesco-letter-2009.md,Wesco Financial Corporation Letter to Shareholders 2009,24494,芒格,英文原始文献,C,英文原始文献适合校对、注释和典藏，不直接占用中文主书篇幅。,投资与资本配置,来源校对/典藏层,content/munger-originals/wesco-letter-2009.md,无,否,低,,,高
DOC-533,content/partnership/partnership_1956-有限合伙协议.md,partnership_1956-有限合伙协议,2078,巴菲特,巴菲特合伙人信/协议中文翻译,C,保留早期实践资料价值，主书仅按问题抽取。,市场、风险与错误|资本配置|长期复利与品格,典藏层/时间线,content/partnership/partnership_1956-有限合伙协议.md,content/articles/buffett/巴菲特合伙契约_1956.md,否,低,,,高
DOC-534,content/partnership/partnership_1957-巴菲特致合伙人信.md,partnership_1957-巴菲特致合伙人信,2211,巴菲特,巴菲特合伙人信/协议中文翻译,C,保留早期实践资料价值，主书仅按问题抽取。,市场、风险与错误|长期复利与品格|资本配置,典藏层/时间线,content/partnership/partnership_1957-巴菲特致合伙人信.md,无,否,低,,,高
DOC-535,content/partnership/partnership_1958-巴菲特致合伙人信.md,partnership_1958-巴菲特致合伙人信,2435,巴菲特,巴菲特合伙人信/协议中文翻译,C,保留早期实践资料价值，主书仅按问题抽取。,市场、风险与错误|内在价值与安全边际|资本配置,典藏层/时间线,content/partnership/partnership_1958-巴菲特致合伙人信.md,无,否,低,,,高
DOC-536,content/partnership/partnership_1959-巴菲特致合伙人信.md,partnership_1959-巴菲特致合伙人信,1696,巴菲特,巴菲特合伙人信/协议中文翻译,A,能展示早期方法、合伙人责任和思想演变。,市场、风险与错误|内在价值与安全边际|资本配置,主书思想演变与核心引文,content/partnership/partnership_1959-巴菲特致合伙人信.md,无,否,低,,,高
DOC-537,content/partnership/partnership_1960-巴菲特致合伙人信.md,partnership_1960-巴菲特致合伙人信,4599,巴菲特,巴菲特合伙人信/协议中文翻译,C,保留早期实践资料价值，主书仅按问题抽取。,市场、风险与错误|保险与浮存金|资本配置,典藏层/时间线,content/partnership/partnership_1960-巴菲特致合伙人信.md,无,否,低,,,高
DOC-538,content/partnership/partnership_1961-annual-巴菲特致合伙人信.md,partnership_1961-annual-巴菲特致合伙人信,9070,巴菲特,巴菲特合伙人信/协议中文翻译,A,能展示早期方法、合伙人责任和思想演变。,市场、风险与错误|长期复利与品格|内在价值与安全边际,主书思想演变与核心引文,content/partnership/partnership_1961-annual-巴菲特致合伙人信.md,无,否,低,,,高
DOC-539,content/partnership/partnership_1961-interim-巴菲特致合伙人信.md,partnership_1961-interim-巴菲特致合伙人信,2440,巴菲特,巴菲特合伙人信/协议中文翻译,A,能展示早期方法、合伙人责任和思想演变。,市场、风险与错误|资本配置|长期复利与品格,主书思想演变与核心引文,content/partnership/partnership_1961-interim-巴菲特致合伙人信.md,无,否,低,,,高
DOC-540,content/partnership/partnership_1962-11月-巴菲特致合伙人信.md,partnership_1962-11月-巴菲特致合伙人信,2020,巴菲特,巴菲特合伙人信/协议中文翻译,A,能展示早期方法、合伙人责任和思想演变。,市场、风险与错误|内在价值与安全边际|资本配置,主书思想演变与核心引文,content/partnership/partnership_1962-11月-巴菲特致合伙人信.md,无,否,低,,,高
DOC-541,content/partnership/partnership_1962-12月-巴菲特致合伙人信.md,partnership_1962-12月-巴菲特致合伙人信,903,巴菲特,巴菲特合伙人信/协议中文翻译,A,能展示早期方法、合伙人责任和思想演变。,资本配置|市场、风险与错误,主书思想演变与核心引文,content/partnership/partnership_1962-12月-巴菲特致合伙人信.md,无,否,低,,,高
DOC-542,content/partnership/partnership_1962-annual-巴菲特致合伙人信.md,partnership_1962-annual-巴菲特致合伙人信,11708,巴菲特,巴菲特合伙人信/协议中文翻译,A,能展示早期方法、合伙人责任和思想演变。,市场、风险与错误|长期复利与品格|资本配置,主书思想演变与核心引文,content/partnership/partnership_1962-annual-巴菲特致合伙人信.md,无,否,低,,,高
DOC-543,content/partnership/partnership_1962-interim-巴菲特致合伙人信.md,partnership_1962-interim-巴菲特致合伙人信,4769,巴菲特,巴菲特合伙人信/协议中文翻译,A,能展示早期方法、合伙人责任和思想演变。,市场、风险与错误|长期复利与品格|资本配置,主书思想演变与核心引文,content/partnership/partnership_1962-interim-巴菲特致合伙人信.md,无,否,低,,,高
DOC-544,content/partnership/partnership_1963-11月-巴菲特致合伙人信.md,partnership_1963-11月-巴菲特致合伙人信,1487,巴菲特,巴菲特合伙人信/协议中文翻译,C,保留早期实践资料价值，主书仅按问题抽取。,市场、风险与错误|长期复利与品格,典藏层/时间线,content/partnership/partnership_1963-11月-巴菲特致合伙人信.md,无,否,低,,,高
DOC-545,content/partnership/partnership_1963-12月-巴菲特致合伙人信.md,partnership_1963-12月-巴菲特致合伙人信,823,巴菲特,巴菲特合伙人信/协议中文翻译,C,保留早期实践资料价值，主书仅按问题抽取。,背景资料,典藏层/时间线,content/partnership/partnership_1963-12月-巴菲特致合伙人信.md,无,否,低,,,高
DOC-546,content/partnership/partnership_1963-annual-巴菲特致合伙人信.md,partnership_1963-annual-巴菲特致合伙人信,12712,巴菲特,巴菲特合伙人信/协议中文翻译,C,保留早期实践资料价值，主书仅按问题抽取。,市场、风险与错误|长期复利与品格|资本配置,典藏层/时间线,content/partnership/partnership_1963-annual-巴菲特致合伙人信.md,无,否,低,,,高
DOC-547,content/partnership/partnership_1963-interim-巴菲特致合伙人信.md,partnership_1963-interim-巴菲特致合伙人信,6260,巴菲特,巴菲特合伙人信/协议中文翻译,C,保留早期实践资料价值，主书仅按问题抽取。,市场、风险与错误|长期复利与品格|内在价值与安全边际,典藏层/时间线,content/partnership/partnership_1963-interim-巴菲特致合伙人信.md,无,否,低,,,高
DOC-548,content/partnership/partnership_1964-annual-巴菲特致合伙人信.md,partnership_1964-annual-巴菲特致合伙人信,15569,巴菲特,巴菲特合伙人信/协议中文翻译,A,能展示早期方法、合伙人责任和思想演变。,市场、风险与错误|长期复利与品格|内在价值与安全边际,主书思想演变与核心引文,content/partnership/partnership_1964-annual-巴菲特致合伙人信.md,无,否,低,,,高
DOC-549,content/partnership/partnership_1964-interim-巴菲特致合伙人信.md,partnership_1964-interim-巴菲特致合伙人信,4175,巴菲特,巴菲特合伙人信/协议中文翻译,A,能展示早期方法、合伙人责任和思想演变。,市场、风险与错误|长期复利与品格|资本配置,主书思想演变与核心引文,content/partnership/partnership_1964-interim-巴菲特致合伙人信.md,无,否,低,,,高
DOC-550,content/partnership/partnership_1965-11月-巴菲特致合伙人信.md,partnership_1965-11月-巴菲特致合伙人信,2061,巴菲特,巴菲特合伙人信/协议中文翻译,A,能展示早期方法、合伙人责任和思想演变。,内在价值与安全边际|资本配置|市场、风险与错误,主书思想演变与核心引文,content/partnership/partnership_1965-11月-巴菲特致合伙人信.md,无,否,低,,,高
DOC-551,content/partnership/partnership_1965-annual-巴菲特致合伙人信.md,partnership_1965-annual-巴菲特致合伙人信,12498,巴菲特,巴菲特合伙人信/协议中文翻译,A,能展示早期方法、合伙人责任和思想演变。,市场、风险与错误|伯克希尔制度|长期复利与品格,主书思想演变与核心引文,content/partnership/partnership_1965-annual-巴菲特致合伙人信.md,无,否,低,,,高
DOC-552,content/partnership/partnership_1965-interim-巴菲特致合伙人信.md,partnership_1965-interim-巴菲特致合伙人信,4339,巴菲特,巴菲特合伙人信/协议中文翻译,A,能展示早期方法、合伙人责任和思想演变。,市场、风险与错误|资本配置|长期复利与品格,主书思想演变与核心引文,content/partnership/partnership_1965-interim-巴菲特致合伙人信.md,无,否,低,,,高
DOC-553,content/partnership/partnership_1966-11月-巴菲特致合伙人信.md,partnership_1966-11月-巴菲特致合伙人信,2181,巴菲特,巴菲特合伙人信/协议中文翻译,A,能展示早期方法、合伙人责任和思想演变。,内在价值与安全边际|市场、风险与错误|资本配置,主书思想演变与核心引文,content/partnership/partnership_1966-11月-巴菲特致合伙人信.md,无,否,低,,,高
DOC-554,content/partnership/partnership_1966-annual-巴菲特致合伙人信.md,partnership_1966-annual-巴菲特致合伙人信,8935,巴菲特,巴菲特合伙人信/协议中文翻译,A,能展示早期方法、合伙人责任和思想演变。,市场、风险与错误|长期复利与品格|资本配置,主书思想演变与核心引文,content/partnership/partnership_1966-annual-巴菲特致合伙人信.md,无,否,低,,,高
DOC-555,content/partnership/partnership_1966-interim-巴菲特致合伙人信.md,partnership_1966-interim-巴菲特致合伙人信,5648,巴菲特,巴菲特合伙人信/协议中文翻译,A,能展示早期方法、合伙人责任和思想演变。,市场、风险与错误|长期复利与品格|资本配置,主书思想演变与核心引文,content/partnership/partnership_1966-interim-巴菲特致合伙人信.md,无,否,低,,,高
DOC-556,content/partnership/partnership_1967-10月-巴菲特致合伙人信.md,partnership_1967-10月-巴菲特致合伙人信,4100,巴菲特,巴菲特合伙人信/协议中文翻译,A,能展示早期方法、合伙人责任和思想演变。,市场、风险与错误|能力圈与集中投资|长期复利与品格,主书思想演变与核心引文,content/partnership/partnership_1967-10月-巴菲特致合伙人信.md,无,否,低,,,高
DOC-557,content/partnership/partnership_1967-11月-巴菲特致合伙人信.md,partnership_1967-11月-巴菲特致合伙人信,1248,巴菲特,巴菲特合伙人信/协议中文翻译,A,能展示早期方法、合伙人责任和思想演变。,市场、风险与错误|内在价值与安全边际|资本配置,主书思想演变与核心引文,content/partnership/partnership_1967-11月-巴菲特致合伙人信.md,无,否,低,,,高
DOC-558,content/partnership/partnership_1967-annual-巴菲特致合伙人信.md,partnership_1967-annual-巴菲特致合伙人信,5733,巴菲特,巴菲特合伙人信/协议中文翻译,A,能展示早期方法、合伙人责任和思想演变。,市场、风险与错误|资本配置|长期复利与品格,主书思想演变与核心引文,content/partnership/partnership_1967-annual-巴菲特致合伙人信.md,无,否,低,,,高
DOC-559,content/partnership/partnership_1967-interim-巴菲特致合伙人信.md,partnership_1967-interim-巴菲特致合伙人信,3479,巴菲特,巴菲特合伙人信/协议中文翻译,A,能展示早期方法、合伙人责任和思想演变。,市场、风险与错误|伯克希尔制度|内在价值与安全边际,主书思想演变与核心引文,content/partnership/partnership_1967-interim-巴菲特致合伙人信.md,无,否,低,,,高
DOC-560,content/partnership/partnership_1968-11月-巴菲特致合伙人信.md,partnership_1968-11月-巴菲特致合伙人信,1285,巴菲特,巴菲特合伙人信/协议中文翻译,A,能展示早期方法、合伙人责任和思想演变。,市场、风险与错误|内在价值与安全边际|资本配置,主书思想演变与核心引文,content/partnership/partnership_1968-11月-巴菲特致合伙人信.md,无,否,低,,,高
DOC-561,content/partnership/partnership_1968-annual-巴菲特致合伙人信.md,partnership_1968-annual-巴菲特致合伙人信,7539,巴菲特,巴菲特合伙人信/协议中文翻译,A,能展示早期方法、合伙人责任和思想演变。,市场、风险与错误|伯克希尔制度|资本配置,主书思想演变与核心引文,content/partnership/partnership_1968-annual-巴菲特致合伙人信.md,无,否,低,,,高
DOC-562,content/partnership/partnership_1968-interim-巴菲特致合伙人信.md,partnership_1968-interim-巴菲特致合伙人信,4081,巴菲特,巴菲特合伙人信/协议中文翻译,A,能展示早期方法、合伙人责任和思想演变。,市场、风险与错误|长期复利与品格|资本配置,主书思想演变与核心引文,content/partnership/partnership_1968-interim-巴菲特致合伙人信.md,无,否,低,,,高
DOC-563,content/partnership/partnership_1969-10月-巴菲特致合伙人信.md,partnership_1969-10月-巴菲特致合伙人信,5713,巴菲特,巴菲特合伙人信/协议中文翻译,A,能展示早期方法、合伙人责任和思想演变。,市场、风险与错误|长期复利与品格|资本配置,主书思想演变与核心引文,content/partnership/partnership_1969-10月-巴菲特致合伙人信.md,无,否,低,,,高
DOC-564,content/partnership/partnership_1969-12月-巴菲特致合伙人信.md,partnership_1969-12月-巴菲特致合伙人信,4385,巴菲特,巴菲特合伙人信/协议中文翻译,A,能展示早期方法、合伙人责任和思想演变。,市场、风险与错误|伯克希尔制度|保险与浮存金,主书思想演变与核心引文,content/partnership/partnership_1969-12月-巴菲特致合伙人信.md,无,否,低,,,高
DOC-565,content/partnership/partnership_1969-12月26日-巴菲特致合伙人信.md,partnership_1969-12月26日-巴菲特致合伙人信,3906,巴菲特,巴菲特合伙人信/协议中文翻译,A,能展示早期方法、合伙人责任和思想演变。,市场、风险与错误|资本配置|伯克希尔制度,主书思想演变与核心引文,content/partnership/partnership_1969-12月26日-巴菲特致合伙人信.md,无,否,低,,,高
DOC-566,content/partnership/partnership_1969-5月-巴菲特致合伙人信.md,partnership_1969-5月-巴菲特致合伙人信,2860,巴菲特,巴菲特合伙人信/协议中文翻译,A,能展示早期方法、合伙人责任和思想演变。,市场、风险与错误|资本配置|伯克希尔制度,主书思想演变与核心引文,content/partnership/partnership_1969-5月-巴菲特致合伙人信.md,无,否,低,,,高
DOC-567,content/partnership/partnership_1969-annual-巴菲特致合伙人信.md,partnership_1969-annual-巴菲特致合伙人信,6727,巴菲特,巴菲特合伙人信/协议中文翻译,A,能展示早期方法、合伙人责任和思想演变。,市场、风险与错误|长期复利与品格|资本配置,主书思想演变与核心引文,content/partnership/partnership_1969-annual-巴菲特致合伙人信.md,无,否,低,,,高
DOC-568,content/partnership/partnership_1969-liquidation-巴菲特致合伙人信.md,partnership_1969-liquidation-巴菲特致合伙人信,3674,巴菲特,巴菲特合伙人信/协议中文翻译,A,能展示早期方法、合伙人责任和思想演变。,市场、风险与错误|伯克希尔制度|资本配置,主书思想演变与核心引文,content/partnership/partnership_1969-liquidation-巴菲特致合伙人信.md,无,否,低,,,高
DOC-569,content/partnership/partnership_1970-bond-巴菲特致合伙人信.md,partnership_1970-bond-巴菲特致合伙人信,9423,巴菲特,巴菲特合伙人信/协议中文翻译,C,保留早期实践资料价值，主书仅按问题抽取。,市场、风险与错误|长期复利与品格|资本配置,典藏层/时间线,content/partnership/partnership_1970-bond-巴菲特致合伙人信.md,无,否,低,,,高
DOC-570,content/people/阿吉特·贾恩.md,阿吉特·贾恩（Ajit Jain）,2332,巴菲特相关,人物背景资料/编辑整理,B,关键人物背景可解释思想来源、管理层判断或伯克希尔制度。,伯克希尔制度|保险与浮存金|市场、风险与错误,人物侧栏/索引,content/people/阿吉特·贾恩.md,无,是,中,,,高
DOC-571,content/people/本杰明·格雷厄姆.md,格雷厄姆（Benjamin Graham）,2512,巴菲特相关,人物背景资料/编辑整理,B,关键人物背景可解释思想来源、管理层判断或伯克希尔制度。,能力圈与集中投资|伯克希尔制度|内在价值与安全边际,人物侧栏/索引,content/people/本杰明·格雷厄姆.md,无,是,中,,,高
DOC-572,content/people/比尔·盖茨.md,比尔·盖茨,364,其他/背景人物,人物背景资料/编辑整理,D,与双书主线关系较弱，保留在人物资料库。,学习、品格与人生|长期复利与品格|商业判断,人物索引备查,content/people/比尔·盖茨.md,无,是,中,,,高
DOC-573,content/people/查理·芒格.md,芒格（Charlie Munger）,2699,芒格,人物背景资料/编辑整理,D,与双书主线关系较弱，保留在人物资料库。,商业判断|学习、品格与人生|投资与资本配置,人物索引备查,content/people/查理·芒格.md,无,是,中,,,高
DOC-574,content/people/菲尔·费雪.md,菲尔·费雪,929,巴菲特相关,人物背景资料/编辑整理,B,关键人物背景可解释思想来源、管理层判断或伯克希尔制度。,能力圈与集中投资|伯克希尔制度,人物侧栏/索引,content/people/菲尔·费雪.md,无,是,中,,,高
DOC-575,content/people/格雷格·阿贝尔.md,格雷格·阿贝尔（Greg Abel）,2292,巴菲特相关,人物背景资料/编辑整理,B,关键人物背景可解释思想来源、管理层判断或伯克希尔制度。,伯克希尔制度|管理层与企业文化|资本配置,人物侧栏/索引,content/people/格雷格·阿贝尔.md,无,是,中,,,高
DOC-576,content/people/杰克·韦尔奇.md,杰克·韦尔奇,383,其他/背景人物,人物背景资料/编辑整理,D,与双书主线关系较弱，保留在人物资料库。,商业判断|管理层与企业文化|伯克希尔制度,人物索引备查,content/people/杰克·韦尔奇.md,无,是,中,,,高
DOC-577,content/people/凯瑟琳·格雷厄姆.md,凯瑟琳·格雷厄姆,397,巴菲特相关,人物背景资料/编辑整理,B,关键人物背景可解释思想来源、管理层判断或伯克希尔制度。,能力圈与集中投资|管理层与企业文化|伯克希尔制度,人物侧栏/索引,content/people/凯瑟琳·格雷厄姆.md,无,是,中,,,高
DOC-578,content/people/泰德·韦施勒.md,泰德·韦施勒（Ted Weschler）,2400,巴菲特相关,人物背景资料/编辑整理,D,与双书主线关系较弱，保留在人物资料库。,伯克希尔制度|市场、风险与错误|长期复利与品格,人物索引备查,content/people/泰德·韦施勒.md,无,是,中,,,高
DOC-579,content/people/汤姆·墨菲.md,汤姆·墨菲,1287,巴菲特相关,人物背景资料/编辑整理,B,关键人物背景可解释思想来源、管理层判断或伯克希尔制度。,伯克希尔制度|资本配置|管理层与企业文化,人物侧栏/索引,content/people/汤姆·墨菲.md,无,是,中,,,高
DOC-580,content/people/托德·库姆斯.md,托德·库姆斯（Todd Combs）,2332,巴菲特相关,人物背景资料/编辑整理,D,与双书主线关系较弱，保留在人物资料库。,伯克希尔制度|保险与浮存金|资本配置,人物索引备查,content/people/托德·库姆斯.md,无,是,中,,,高
DOC-581,content/people/沃伦·巴菲特.md,沃伦·巴菲特,1334,巴菲特,人物背景资料/编辑整理,B,关键人物背景可解释思想来源、管理层判断或伯克希尔制度。,伯克希尔制度|长期复利与品格|内在价值与安全边际,人物侧栏/索引,content/people/沃伦·巴菲特.md,无,是,中,,,高
DOC-582,content/people/B夫人.md,B夫人（Mrs. B / Rose Blumkin）,2899,其他/背景人物,人物背景资料/编辑整理,B,关键人物背景可解释思想来源、管理层判断或伯克希尔制度。,伯克希尔制度|商业判断|管理层与企业文化,人物侧栏/索引,content/people/B夫人.md,无,是,中,,,高
DOC-583,content/poor-charlies-almanack/00-forewords.md,序言、回应与全书导读,1147,芒格,经典文本摘要/早期整理,D,较短的早期整理版已被完整版本覆盖。,学习、品格与人生|投资与资本配置|逆向与决策工具,版本参考,content/poor-charlies-almanack/00-forewords.md,无,否,中,,,高
DOC-584,content/poor-charlies-almanack/01-portrait.md,查理·芒格肖像,1749,芒格,经典文本摘要/早期整理,D,较短的早期整理版已被完整版本覆盖。,商业判断|学习、品格与人生|投资与资本配置,版本参考,poor-charlies-almanack/poor-charlies-almanack-chapter-one.md,无,否,中,,,高
